logMstar,logR50_16,logR50_50,logR50_84
9,0.14465408805031400,0.4056603773584910,0.5660377358490570
9.238493723849370,0.18892923870424500,0.44993552801242100,0.604023578326886
9.426778242677820,0.23000710507618200,0.48156627457172200,0.6450926729998330
9.615062761506280,0.28051893371227100,0.5163592186170540,0.7019069673605080
9.811715481171550,0.33732884222345000,0.557450242537477,0.7492829136075370
10.01673640167360,0.403581484697771,0.6016859205459510,0.7777953211757590
10.205020920502100,0.4698165837741110,0.6490618667929790,0.8094479969825360
10.410041841004200,0.5517924966886840,0.7090252010911990,0.8536749032920190
10.598326359832600,0.6368955202933260,0.7815583800426310,0.907344543564643
10.803347280334700,0.7377393577362000,0.8666614036472720,0.9924651105672660
10.99163179916320,0.8322763436049930,0.9580625071270050,1.074414708384870
11.188284518828500,0.9331114093488770,1.049454838907750,1.175254159978250
11.372384937238500,1.033933317544280,1.1471364788645900,1.2729182565371100
11.560669456066900,1.137904265677220,1.2479759304579700,1.3706086681929400
11.794979079497900,1.2670806908590100,1.3677096216766200,1.4966448251361800
12.00418410041840,1.3836521845916300,1.49,1.6